,commodity,cty_code,state,year,month,gen_val_mo,con_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,con_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,distance,gen_swt_mo,co2
942710,852842,2010,PR,2024,12,0,0,0,0,0,0,0,0,136900,136900,136900,1350,0,0,0,0,4633.757745291259,0.0,0.0
942737,852849,2010,PR,2024,12,0,0,0,0,0,0,0,0,162288,162288,162288,1972,0,0,0,0,4633.757745291259,0.0,0.0
942847,852852,2010,AL,2024,12,0,0,0,0,0,0,0,0,2290,2290,0,0,0,0,0,0,1977.845496829456,0.0,0.0
942848,852852,2010,AZ,2024,12,0,0,0,0,0,0,0,0,16250,16250,14000,297,0,0,0,0,1844.4437636261728,0.0,0.0
942849,852852,2010,CA,2024,12,3059946,3059946,0,0,0,0,0,0,60472486,60472486,551557,1770,0,0,0,0,2847.1157327397364,176834.81879151307,40277535574.199776
942850,852852,2010,FL,2024,12,27186,27186,27186,427,0,0,0,0,200395,200395,89395,2192,102000,3409,70650,2233,2442.374792665254,1571.0837327410597,306974024.4810559
942851,852852,2010,GA,2024,12,0,0,0,0,0,0,0,0,21807,21807,15332,32,0,0,0,0,2389.453883861842,0.0,0.0
942852,852852,2010,IL,2024,12,0,0,0,0,0,0,0,0,245559,245559,0,0,0,0,0,0,2522.072330734667,0.0,0.0
942853,852852,2010,IN,2024,12,0,0,0,0,0,0,0,0,442884,442884,0,0,0,0,0,0,2660.9102858506853,0.0,0.0
942854,852852,2010,MA,2024,12,76556,76556,0,0,0,0,0,0,467841,467841,6150,113,0,0,0,0,4192.271096849977,4424.184736398314,1483790543.8021991
942855,852852,2010,MI,2024,12,0,0,0,0,0,0,0,0,54422,54422,0,0,0,0,0,0,3197.531966266117,0.0,0.0
942856,852852,2010,MN,2024,12,0,0,0,0,0,0,0,0,2200,2200,2200,20,0,0,0,0,3065.7983074123918,0.0,0.0
942857,852852,2010,MO,2024,12,0,0,0,0,0,0,0,0,14897,14897,14897,32,0,0,0,0,2073.2760794465025,0.0,0.0
942858,852852,2010,NC,2024,12,0,0,0,0,0,0,0,0,8087,8087,8087,17,0,0,0,0,3011.529391850041,0.0,0.0
942859,852852,2010,NJ,2024,12,9456073,9456073,0,0,42963,66,42963,66,127003465,127003465,115563,1115,313256,1008,313256,1008,3752.1214722537475,546468.1257232381,164033183074.27377
942860,852852,2010,NV,2024,12,0,0,0,0,0,0,0,0,7719,7719,7719,160,0,0,0,0,2727.3254956820124,0.0,0.0
942861,852852,2010,NY,2024,12,12608,12608,5642,39,0,0,0,0,370320,370320,45002,148,0,0,0,0,3786.3681901126456,728.6185427204914,220705445.830648
942862,852852,2010,OH,2024,12,0,0,0,0,0,0,0,0,91839,91839,27499,376,0,0,0,0,2996.722411584126,0.0,0.0
942863,852852,2010,PA,2024,12,0,0,0,0,0,0,0,0,350675,350675,9000,20,0,0,0,0,3512.434521496396,0.0,0.0
942864,852852,2010,PR,2024,12,0,0,0,0,0,0,0,0,94171,94171,0,0,94171,2355,46440,1159,4633.757745291259,0.0,0.0
942865,852852,2010,RI,2024,12,0,0,0,0,0,0,0,0,8829,8829,8829,10,0,0,0,0,4131.905325759047,0.0,0.0
942866,852852,2010,TN,2024,12,0,0,0,0,0,0,0,0,23095,23095,0,0,0,0,0,0,2219.5650339456356,0.0,0.0
942867,852852,2010,TX,2024,12,89413,89413,2739,13,0,0,0,0,1724116,1724116,352684,2735,180009,2059,180009,2059,852.8322792632797,5167.193033016125,352539920.93923855
942868,852852,2010,UT,2024,12,0,0,0,0,0,0,0,0,84655,84655,71201,161,0,0,0,0,2366.930378300682,0.0,0.0
942869,852852,2010,VA,2024,12,0,0,0,0,0,0,0,0,8114,8114,0,0,0,0,0,0,3150.808201829077,0.0,0.0
942870,852852,2010,WI,2024,12,0,0,0,0,0,0,0,0,57911,57911,0,0,0,0,0,0,2965.575833992575,0.0,0.0
943661,852859,2010,AZ,2024,12,0,0,0,0,0,0,0,0,11000,11000,11000,233,0,0,0,0,1844.4437636261728,0.0,0.0
943662,852859,2010,CA,2024,12,25025515,25025515,125644,2044,2372,27,0,0,442779302,442779302,687703,11861,2372,27,0,0,2847.1157327397364,1446228.9237095336,329406489746.93353
943663,852859,2010,FL,2024,12,379886,0,0,0,0,0,0,0,403143,23257,8664,161,11793,121,0,0,2442.374792665254,21953.678911795418,4289528958.4348717
943664,852859,2010,GA,2024,12,137384,137384,91017,489,0,0,0,0,3205862,3205862,98176,520,0,0,0,0,2389.453883861842,7939.445580037436,1517675126.1544151
943665,852859,2010,IA,2024,12,197966,197966,0,0,0,0,0,0,3592519,3592519,15133,24,0,0,0,0,2513.410959944665,11440.490040308123,2300372244.355858
943666,852859,2010,IL,2024,12,42840,42840,3512,14,0,0,0,0,185305,185305,56434,181,0,0,0,0,2522.072330734667,2475.7311524544616,499517843.0354598
943667,852859,2010,IN,2024,12,583640,583640,0,0,0,0,0,0,12854110,12854110,3000,2,0,0,0,0,2660.9102858506853,33728.658492495844,7179914744.850182
943668,852859,2010,KS,2024,12,33300,33300,33300,19,0,0,0,0,51800,51800,51800,29,0,0,0,0,1871.6623073548635,1924.4128706053589,288148082.6960498
943669,852859,2010,KY,2024,12,0,0,0,0,0,0,0,0,4537445,4537445,134784,2883,0,0,0,0,2583.494941710599,0.0,0.0
943670,852859,2010,MA,2024,12,0,0,0,0,0,0,0,0,43612,43612,43612,243,0,0,0,0,4192.271096849977,0.0,0.0
943671,852859,2010,MI,2024,12,1889192,1889192,0,0,0,0,0,0,15635770,15635770,223501,2869,0,0,0,0,3197.531966266117,109176.73873407445,27927688965.990974
943672,852859,2010,MT,2024,12,0,0,0,0,0,0,0,0,3897,3897,0,0,0,0,0,0,3247.3866941194915,0.0,0.0
943673,852859,2010,NC,2024,12,0,0,0,0,0,0,0,0,62406,62406,9031,133,0,0,0,0,3011.529391850041,0.0,0.0
943674,852859,2010,ND,2024,12,0,0,0,0,0,0,0,0,66506,66506,66506,53,0,0,0,0,3159.5610181066772,0.0,0.0
943675,852859,2010,NH,2024,12,0,0,0,0,0,0,0,0,8700,8700,8700,48,0,0,0,0,4225.382182099295,0.0,0.0
943676,852859,2010,NJ,2024,12,0,0,0,0,0,0,0,0,95469,95469,0,0,0,0,0,0,3752.1214722537475,0.0,0.0
943677,852859,2010,NY,2024,12,0,0,0,0,0,0,0,0,46578,46578,37378,242,0,0,0,0,3786.3681901126456,0.0,0.0
943678,852859,2010,OH,2024,12,0,0,0,0,0,0,0,0,22948,22948,2422,4,0,0,0,0,2996.722411584126,0.0,0.0
943679,852859,2010,OK,2024,12,3383,3383,0,0,0,0,0,0,402193,402193,0,0,0,0,0,0,1471.4293258247562,195.504166404142,23013645.10143821
943680,852859,2010,OR,2024,12,0,0,0,0,0,0,0,0,32216,0,0,0,0,0,0,0,3537.689510936759,0.0,0.0
943681,852859,2010,PA,2024,12,0,0,0,0,0,0,0,0,8270,8270,6166,59,0,0,0,0,3512.434521496396,0.0,0.0
943682,852859,2010,SC,2024,12,0,0,0,0,0,0,0,0,9400,9400,9400,12,0,0,0,0,2670.87984783615,0.0,0.0
943683,852859,2010,TN,2024,12,24700,24700,9318,60,0,0,0,0,279315,1127190,18612,81,0,0,0,0,2219.5650339456356,1427.417354473044,253459651.9068441
943684,852859,2010,TX,2024,12,4919011,4919011,2669,57,0,0,0,0,54304640,54222864,25631,221,0,0,0,0,852.8322792632797,284270.51288436446,19394805554.441124
943685,852859,2010,UT,2024,12,132628,132628,0,0,0,0,0,0,842812,842812,342294,5765,0,0,0,0,2366.930378300682,7664.595501581007,1451325114.406307
943686,852859,2010,WA,2024,12,0,0,0,0,0,0,0,0,3600,3600,0,0,0,0,0,0,3962.209195720608,0.0,0.0
