,commodity,cty_code,state,year,month,gen_val_mo,con_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,con_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,distance,gen_swt_mo,co2
849178,845011,2010,CA,2025,12,1807730,1807730,0,0,0,0,0,0,27563248,27563248,0,0,0,0,0,0,2847.1157327397364,465504.0067332974,106027502497.90042
849179,845011,2010,CO,2025,12,398827,398827,0,0,0,0,0,0,4922868,4922868,0,0,0,0,0,0,2028.894379593746,102700.93791297419,16669548456.851168
849180,845011,2010,FL,2025,12,1378826,1378826,0,0,0,0,0,0,19121576,19121576,0,0,254100,58590,254100,58590,2442.374792665254,355058.0161794325,69374779892.03023
849181,845011,2010,GA,2025,12,764299,764299,0,0,0,0,0,0,13078900,13078900,0,0,0,0,0,0,2389.453883861842,196812.71364764235,37621992241.4998
849182,845011,2010,IL,2025,12,716040,716040,0,0,0,0,0,0,8086170,8086170,0,0,0,0,0,0,2522.072330734667,184385.65990568852,37202717682.591156
849183,845011,2010,IN,2025,12,0,0,0,0,0,0,0,0,2933085,2933085,0,0,0,0,0,0,2660.9102858506853,0.0,0.0
849184,845011,2010,KY,2025,12,903351,903351,0,0,0,0,0,0,13679527,13679527,0,0,0,0,0,0,2583.494941710599,232619.64451911015,48077733996.6111
849185,845011,2010,MD,2025,12,2545752,2545752,0,0,754507,155337,754507,155337,38349656,38349656,0,0,6222696,1333184,6191360,1326222,3445.154709249837,655550.1961848869,180677747642.8814
849186,845011,2010,PR,2025,12,155035,155035,0,0,155035,35931,155035,35931,1781113,1781113,0,0,1781113,408826,1781113,408826,4633.757745291259,39922.67301195243,14799359622.54919
849187,845011,2010,TX,2025,12,3392825,3392825,0,0,0,0,0,0,62090745,62090745,0,0,0,0,0,0,852.8322792632797,873677.83443595,59608052710.70541
849188,845011,2010,WA,2025,12,633615,633615,0,0,0,0,0,0,7669015,7669015,0,0,0,0,0,0,3962.209195720608,163160.60541470145,51718116092.27774
849369,845020,2010,AZ,2025,12,0,0,0,0,0,0,0,0,70735,70735,0,0,0,0,0,0,1844.4437636261728,0.0,0.0
849370,845020,2010,CA,2025,12,3727295,3727295,0,0,0,0,0,0,10979093,10825199,0,0,153894,23260,153894,23260,2847.1157327397364,959806.3631056551,218614383742.54547
849371,845020,2010,CO,2025,12,0,0,0,0,0,0,0,0,367234,367234,0,0,0,0,0,0,2028.894379593746,0.0,0.0
849372,845020,2010,FL,2025,12,123165,75565,0,0,0,0,0,0,2278950,2151806,0,0,914831,176684,914831,176684,2442.374792665254,31715.909449589584,6196971021.290506
849373,845020,2010,GA,2025,12,130727,130727,0,0,0,0,0,0,1998121,1998121,0,0,218673,28871,218673,28871,2389.453883861842,33663.18105481669,6434929497.166089
849374,845020,2010,IL,2025,12,48263,48263,0,0,0,0,0,0,3427641,3427641,0,0,0,0,0,0,2522.072330734667,12428.083771895766,2507562096.412068
849375,845020,2010,IN,2025,12,0,0,0,0,0,0,0,0,188496,188496,0,0,0,0,0,0,2660.9102858506853,0.0,0.0
849376,845020,2010,KY,2025,12,55975,55975,0,0,0,0,0,0,601608,601608,0,0,0,0,0,0,2583.494941710599,14413.981499945414,2979075863.60153
849377,845020,2010,MD,2025,12,162324,162324,0,0,20710,4822,20710,4822,1228534,1228534,0,0,114746,21787,114746,21787,3445.154709249837,41799.64507364251,11520499525.6345
849378,845020,2010,MI,2025,12,0,0,0,0,0,0,0,0,34730,34730,0,0,0,0,0,0,3197.531966266117,0.0,0.0
849379,845020,2010,NC,2025,12,0,0,0,0,0,0,0,0,72577,72577,0,0,0,0,0,0,3011.529391850041,0.0,0.0
849380,845020,2010,NJ,2025,12,144789,144789,0,0,0,0,0,0,1345332,1345332,0,0,20045,4840,20045,4840,3752.1214722537475,37284.2513156873,11191603195.07963
849381,845020,2010,OH,2025,12,0,0,0,0,0,0,0,0,219834,226727,0,0,0,0,0,0,2996.722411584126,0.0,0.0
849382,845020,2010,PA,2025,12,11703,11703,0,0,11703,1300,11703,1300,1629324,1629324,0,0,1341843,243038,1341843,243038,3512.434521496396,3013.61010261476,846808652.7003503
849383,845020,2010,PR,2025,12,245941,245941,0,0,245941,30679,245941,30679,1271198,1271198,0,0,1271198,231969,1271198,231969,4633.757745291259,63331.64848732604,23477081336.01684
849384,845020,2010,TN,2025,12,0,0,0,0,0,0,0,0,36466,36466,0,0,0,0,0,0,2219.5650339456356,0.0,0.0
849385,845020,2010,TX,2025,12,20116274,20116274,0,0,0,0,0,0,194904167,194904167,0,0,0,0,0,0,852.8322792632797,5180091.135039445,353419914358.97595
849386,845020,2010,WA,2025,12,1213083,1213083,0,0,0,0,0,0,2899800,2899800,0,0,96412,22070,96412,22070,3962.209195720608,312377.95301292156,99016543837.45422
